Step Type,Target Page,Step Number,Step Title,Option
Instructional Step,WsRepo : PWS Quantification of IL-12p70 in Human K2EDTA Plasma Samples using a Validated  Electrochemiluminescent Assay Method,1,1,
Instructional Step,WsRepo : PWS Quantification of IL-12p70 in Human K2EDTA Plasma Samples using a Validated  Electrochemiluminescent Assay Method,2,2,
Incubation,WsRepo : PWS Quantification of IL-12p70 in Human K2EDTA Plasma Samples using a Validated  Electrochemiluminescent Assay Method,3,3,Interval Duration
Instructional Step,WsRepo : PWS Quantification of IL-12p70 in Human K2EDTA Plasma Samples using a Validated  Electrochemiluminescent Assay Method,4,4,
Incubation,WsRepo : PWS Quantification of IL-12p70 in Human K2EDTA Plasma Samples using a Validated  Electrochemiluminescent Assay Method,5,5,Interval Duration
Instructional Step,WsRepo : PWS Quantification of IL-12p70 in Human K2EDTA Plasma Samples using a Validated  Electrochemiluminescent Assay Method,6,6,
Instructional Step,WsRepo : PWS Quantification of IL-12p70 in Human K2EDTA Plasma Samples using a Validated  Electrochemiluminescent Assay Method,7,7,
Instructional Step,WsRepo : Worksheet for screening and titer for Validation of an Electrochemiluminescence Assay for the Detection  of Anti-CB4332 Antibodies in Cynomolgus Plasma,1,1,
Incubation,WsRepo : Worksheet for screening and titer for Validation of an Electrochemiluminescence Assay for the Detection  of Anti-CB4332 Antibodies in Cynomolgus Plasma,2,2,Interval Duration
Instructional Step,WsRepo : Worksheet for screening and titer for Validation of an Electrochemiluminescence Assay for the Detection  of Anti-CB4332 Antibodies in Cynomolgus Plasma,3,3,
Incubation,WsRepo : Worksheet for screening and titer for Validation of an Electrochemiluminescence Assay for the Detection  of Anti-CB4332 Antibodies in Cynomolgus Plasma,4,4,Interval Duration
Incubation,WsRepo : Worksheet for screening and titer for Validation of an Electrochemiluminescence Assay for the Detection  of Anti-CB4332 Antibodies in Cynomolgus Plasma,5,5,Interval Duration
WashProgram Step,WsRepo : Worksheet for screening and titer for Validation of an Electrochemiluminescence Assay for the Detection  of Anti-CB4332 Antibodies in Cynomolgus Plasma,6,6,
Incubation,WsRepo : Worksheet for screening and titer for Validation of an Electrochemiluminescence Assay for the Detection  of Anti-CB4332 Antibodies in Cynomolgus Plasma,7,7,Interval Duration
WashProgram Step,WsRepo : Worksheet for screening and titer for Validation of an Electrochemiluminescence Assay for the Detection  of Anti-CB4332 Antibodies in Cynomolgus Plasma,8,8,
Instructional Step,WsRepo : Worksheet for screening and titer for Validation of an Electrochemiluminescence Assay for the Detection  of Anti-CB4332 Antibodies in Cynomolgus Plasma,9,9,
Instructional Step,WsRepo : Worksheet for screening and titer for Validation of an Electrochemiluminescence Assay for the Detection  of Anti-CB4332 Antibodies in Cynomolgus Plasma,10,10,
Incubation,~vKloppA : Worksheet for the Quantification of AGEN2034 in Human Serum Samples using Anti-Idiotype Detection,1,1,Interval Duration
Instructional Step,~vKloppA : Worksheet for the Quantification of AGEN2034 in Human Serum Samples using Anti-Idiotype Detection,2,2,
Incubation,~vKloppA : Worksheet for the Quantification of AGEN2034 in Human Serum Samples using Anti-Idiotype Detection,3,3,Interval Duration
Instructional Step,~vKloppA : Worksheet for the Quantification of AGEN2034 in Human Serum Samples using Anti-Idiotype Detection,4,4,
Instructional Step,~vKloppA : Worksheet for the Quantification of AGEN2034 in Human Serum Samples using Anti-Idiotype Detection,5,5,
Incubation,~vKloppA : Worksheet for the Quantification of AGEN2034 in Human Serum Samples using Anti-Idiotype Detection,6,6,Interval Duration
Instructional Step,~vKloppA : Worksheet for the Quantification of AGEN2034 in Human Serum Samples using Anti-Idiotype Detection,7,7,
Incubation,~vKloppA : Worksheet for the Quantification of AGEN2034 in Human Serum Samples using Anti-Idiotype Detection,8,8,Interval Duration
Instructional Step,~vKloppA : Worksheet for the Quantification of AGEN2034 in Human Serum Samples using Anti-Idiotype Detection,9,9,
Instructional Step,~vKloppA : Worksheet for the Quantification of AGEN2034 in Human Serum Samples using Anti-Idiotype Detection,10,10,
Instructional Step,WsRepo : Appendix A. Bead Extraction Worksheet {26391563},1,1 - DAY 1,
Instructional Step,WsRepo : Appendix A. Bead Extraction Worksheet {26391563},2,2 - DAY 1,
Instructional Step,WsRepo : Appendix A. Bead Extraction Worksheet {26391563},1,1,
Instructional Step,WsRepo : Appendix A. Bead Extraction Worksheet {26391563},2,2,
Instructional Step,WsRepo : Appendix A. Bead Extraction Worksheet {26391563},3,3,
Instructional Step,WsRepo : Appendix A. Bead Extraction Worksheet {26391563},4,4,
Instructional Step,WsRepo : Appendix A. Bead Extraction Worksheet {26391563},5,5,
Instructional Step,WsRepo : Appendix A. Bead Extraction Worksheet {26391563},6,6,
Instructional Step,WsRepo : Appendix A. Bead Extraction Worksheet {26391563},7,7,
Instructional Step,WsRepo : Appendix A. Bead Extraction Worksheet {26391563},8,8,
Incubation,~vKloppA : Andres' Worksheet Stepifier,9,9,Interval Duration
Incubation,WsRepo : Appendix A. Bead Extraction Worksheet {26391563},9,9,Interval Duration
Instructional Step,WsRepo : Appendix A. Bead Extraction Worksheet {26391563},10,10,
Incubation,WsRepo : Appendix A. Bead Extraction Worksheet {26391563},11,11,Interval Duration
Incubation,WsRepo : Appendix A. Bead Extraction Worksheet {26391563},13,13,Interval Duration
Instructional Step,WsRepo : Appendix A. Bead Extraction Worksheet {26391563},14,14,
Instructional Step,WsRepo : Appendix B. APL-2 Assay Worksheet {26391563},1,1,
Instructional Step,WsRepo : Appendix B. APL-2 Assay Worksheet {26391563},2,2,
Incubation,WsRepo : Appendix B. APL-2 Assay Worksheet {26391563},3,3,No Less than Lower Bound
Incubation,WsRepo : Appendix B. APL-2 Assay Worksheet {26391563},6,6,Interval Duration
Instructional Step,WsRepo : Appendix B. APL-2 Assay Worksheet {26391563},7,7,
Incubation,WsRepo : Appendix B. APL-2 Assay Worksheet {26391563},8,8,Interval Duration
Instructional Step,WsRepo : Appendix B. APL-2 Assay Worksheet {26391563},9,9,
Incubation,WsRepo : Appendix B. APL-2 Assay Worksheet {26391563},10,10,Interval Duration
Instructional Step,WsRepo : Appendix B. APL-2 Assay Worksheet {26391563},11,11,
Instructional Step,WsRepo : Appendix B. APL-2 Assay Worksheet {26391563},12,12,
Instructional Step,WsRepo : Screening and Titer Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples  from Clinical Study C-750-01,1,1,
Incubation,WsRepo : Screening and Titer Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples  from Clinical Study C-750-01,2,2,Interval Duration
Incubation,WsRepo : Screening and Titer Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples  from Clinical Study C-750-01,3,3,Interval Duration
Instructional Step,WsRepo : Screening and Titer Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples  from Clinical Study C-750-01,4,4,
Instructional Step,WsRepo : Screening and Titer Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples  from Clinical Study C-750-01,5,5,
Incubation,WsRepo : Screening and Titer Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples  from Clinical Study C-750-01,6,6,Interval Duration
Instructional Step,WsRepo : Screening and Titer Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples  from Clinical Study C-750-01,7,7,
Incubation,WsRepo : Screening and Titer Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples  from Clinical Study C-750-01,8,8,Interval Duration
Instructional Step,WsRepo : Screening and Titer Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples  from Clinical Study C-750-01,9,9,
Instructional Step,WsRepo : Screening and Titer Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples  from Clinical Study C-750-01,10,10,
Instructional Step,WsRepo : Screening and Titer Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples  from Clinical Study C-750-01,11,11,
Instructional Step,~vKloppA : Detection of Anti-AGEN2034 Antibodies in Human Serum Samples - Confirmatory Worksheet,1,1,
Incubation,~vKloppA : Detection of Anti-AGEN2034 Antibodies in Human Serum Samples - Confirmatory Worksheet,2,2,Interval Duration
Incubation,~vKloppA : Detection of Anti-AGEN2034 Antibodies in Human Serum Samples - Confirmatory Worksheet,3,3,Interval Duration
Instructional Step,~vKloppA : Detection of Anti-AGEN2034 Antibodies in Human Serum Samples - Confirmatory Worksheet,4,4,
Instructional Step,~vKloppA : Detection of Anti-AGEN2034 Antibodies in Human Serum Samples - Confirmatory Worksheet,5,5,
Incubation,~vKloppA : Detection of Anti-AGEN2034 Antibodies in Human Serum Samples - Confirmatory Worksheet,6,6,Interval Duration
Instructional Step,~vKloppA : Detection of Anti-AGEN2034 Antibodies in Human Serum Samples - Confirmatory Worksheet,7,7,
Incubation,~vKloppA : Detection of Anti-AGEN2034 Antibodies in Human Serum Samples - Confirmatory Worksheet,8,8,Interval Duration
Instructional Step,~vKloppA : Detection of Anti-AGEN2034 Antibodies in Human Serum Samples - Confirmatory Worksheet,9,9,
Instructional Step,~vKloppA : Detection of Anti-AGEN2034 Antibodies in Human Serum Samples - Confirmatory Worksheet,10,10,
Instructional Step,~vKloppA : Detection of Anti-AGEN2034 Antibodies in Human Serum Samples - Confirmatory Worksheet,11,11,
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Antibodies to Recombinant Human Acid Alpha Glucosidase (rhGAA) in Human Plasma Using an MSD Electrochemiluminescent Assay,1,1,
Incubation,WsRepo : Confirmatory Worksheet for Detection of Antibodies to Recombinant Human Acid Alpha Glucosidase (rhGAA) in Human Plasma Using an MSD Electrochemiluminescent Assay,2,2,No Less than Lower Bound
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Antibodies to Recombinant Human Acid Alpha Glucosidase (rhGAA) in Human Plasma Using an MSD Electrochemiluminescent Assay,3,3,
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Antibodies to Recombinant Human Acid Alpha Glucosidase (rhGAA) in Human Plasma Using an MSD Electrochemiluminescent Assay,4,4,
Incubation,WsRepo : Confirmatory Worksheet for Detection of Antibodies to Recombinant Human Acid Alpha Glucosidase (rhGAA) in Human Plasma Using an MSD Electrochemiluminescent Assay,5,5,Interval Duration
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Antibodies to Recombinant Human Acid Alpha Glucosidase (rhGAA) in Human Plasma Using an MSD Electrochemiluminescent Assay,6,6,
Incubation,WsRepo : Confirmatory Worksheet for Detection of Antibodies to Recombinant Human Acid Alpha Glucosidase (rhGAA) in Human Plasma Using an MSD Electrochemiluminescent Assay,7,7,Interval Duration
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Antibodies to Recombinant Human Acid Alpha Glucosidase (rhGAA) in Human Plasma Using an MSD Electrochemiluminescent Assay,8,8,
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Antibodies to Recombinant Human Acid Alpha Glucosidase (rhGAA) in Human Plasma Using an MSD Electrochemiluminescent Assay,9,9,
Incubation,WsRepo : Confirmatory Worksheet for Detection of Antibodies to Recombinant Human Acid Alpha Glucosidase (rhGAA) in Human Plasma Using an MSD Electrochemiluminescent Assay,10,10,Interval Duration
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Antibodies to Recombinant Human Acid Alpha Glucosidase (rhGAA) in Human Plasma Using an MSD Electrochemiluminescent Assay,11,11,
Customized Step,WsRepo : Confirmatory Worksheet for Detection of Antibodies to Recombinant Human Acid Alpha Glucosidase (rhGAA) in Human Plasma Using an MSD Electrochemiluminescent Assay,12,12,
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Antibodies to Recombinant Human Acid Alpha Glucosidase (rhGAA) in Human Plasma Using an MSD Electrochemiluminescent Assay,13,13,
Incubation,WsRepo : Worksheet for Determination of Anti-CRALBP Antibodies in Human Serum by colorimetric ELISA Assay,1,1,Interval Duration
WashProgram Step,WsRepo : Worksheet for Determination of Anti-CRALBP Antibodies in Human Serum by colorimetric ELISA Assay,2,2,
Instructional Step,WsRepo : Worksheet for Determination of Anti-CRALBP Antibodies in Human Serum by colorimetric ELISA Assay,3,3,
Incubation,WsRepo : Worksheet for Determination of Anti-CRALBP Antibodies in Human Serum by colorimetric ELISA Assay,4,4,Interval Duration
Incubation,WsRepo : Worksheet for Determination of Anti-CRALBP Antibodies in Human Serum by colorimetric ELISA Assay,5,5,Interval Duration
WashProgram Step,WsRepo : Worksheet for Determination of Anti-CRALBP Antibodies in Human Serum by colorimetric ELISA Assay,6,6,
Incubation,WsRepo : Worksheet for Determination of Anti-CRALBP Antibodies in Human Serum by colorimetric ELISA Assay,7,7,Interval Duration
WashProgram Step,WsRepo : Worksheet for Determination of Anti-CRALBP Antibodies in Human Serum by colorimetric ELISA Assay,8,8,
Incubation,WsRepo : Worksheet for Determination of Anti-CRALBP Antibodies in Human Serum by colorimetric ELISA Assay,9,9,Interval Duration
WashProgram Step,WsRepo : Worksheet for Determination of Anti-CRALBP Antibodies in Human Serum by colorimetric ELISA Assay,10,10,
Instructional Step,WsRepo : Worksheet for Determination of Anti-CRALBP Antibodies in Human Serum by colorimetric ELISA Assay,12,12,
Instructional Step,WsRepo : Worksheet for Determination of Anti-CRALBP Antibodies in Human Serum by colorimetric ELISA Assay,13,13,
Customized Step,WsRepo : Worksheet for Determination of Anti-CRALBP Antibodies in Human Serum by colorimetric ELISA Assay,11,11,
Instructional Step,WsRepo : Worksheet for Biomarker Analysis of TIMP-1 in Pediatric Serum using the Validated R&D Systems Quantikine® ELISA Human TIMP-1 Immunoassay Kit,1,1,
Incubation,WsRepo : Worksheet for Biomarker Analysis of TIMP-1 in Pediatric Serum using the Validated R&D Systems Quantikine® ELISA Human TIMP-1 Immunoassay Kit,2,2,Interval Duration
WashProgram Step,WsRepo : Worksheet for Biomarker Analysis of TIMP-1 in Pediatric Serum using the Validated R&D Systems Quantikine® ELISA Human TIMP-1 Immunoassay Kit,3,3,
Incubation,WsRepo : Worksheet for Biomarker Analysis of TIMP-1 in Pediatric Serum using the Validated R&D Systems Quantikine® ELISA Human TIMP-1 Immunoassay Kit,4,4,Interval Duration
WashProgram Step,WsRepo : Worksheet for Biomarker Analysis of TIMP-1 in Pediatric Serum using the Validated R&D Systems Quantikine® ELISA Human TIMP-1 Immunoassay Kit,5,5,
Incubation,~vKloppA : Andres' Worksheet Stepifier,6,6,Interval Duration
Instructional Step,WsRepo : Worksheet for Biomarker Analysis of TIMP-1 in Pediatric Serum using the Validated R&D Systems Quantikine® ELISA Human TIMP-1 Immunoassay Kit,7,7,
Instructional Step,WsRepo : Worksheet for Biomarker Analysis of TIMP-1 in Pediatric Serum using the Validated R&D Systems Quantikine® ELISA Human TIMP-1 Immunoassay Kit,8,8,
Instructional Step,~vKloppA : Anti-FMC63scFv-Fc Validation Screening Assay Worksheet,1,1,
Instructional Step,~vKloppA : Anti-FMC63scFv-Fc Validation Screening Assay Worksheet,2,2,
Incubation,~vKloppA : Anti-FMC63scFv-Fc Validation Screening Assay Worksheet,3,3,Interval Duration
Instructional Step,~vKloppA : Anti-FMC63scFv-Fc Validation Screening Assay Worksheet,4,4,
Instructional Step,~vKloppA : Anti-FMC63scFv-Fc Validation Screening Assay Worksheet,5,5,
Instructional Step,~vKloppA : Anti-FMC63scFv-Fc Validation Screening Assay Worksheet,6,6,
Incubation,~vKloppA : Anti-FMC63scFv-Fc Validation Screening Assay Worksheet,7,7,Interval Duration
WashProgram Step,~vKloppA : Anti-FMC63scFv-Fc Validation Screening Assay Worksheet,8,8,
Incubation,~vKloppA : Anti-FMC63scFv-Fc Validation Screening Assay Worksheet,9,9,Interval Duration
WashProgram Step,~vKloppA : Anti-FMC63scFv-Fc Validation Screening Assay Worksheet,10,10,
Instructional Step,~vKloppA : Anti-FMC63scFv-Fc Validation Screening Assay Worksheet,11,11,
Incubation,WsRepo : Validation of an ADA Assay for a Monoclonal Antibody Drug INCA00186 in Human Serum - PWS,1,1,Interval Duration
Instructional Step,WsRepo : Validation of an ADA Assay for a Monoclonal Antibody Drug INCA00186 in Human Serum - PWS,2,2,
Instructional Step,WsRepo : Validation of an ADA Assay for a Monoclonal Antibody Drug INCA00186 in Human Serum - PWS,3,3,
Incubation,WsRepo : Validation of an ADA Assay for a Monoclonal Antibody Drug INCA00186 in Human Serum - PWS,4,4,Interval Duration
Incubation,WsRepo : Validation of an ADA Assay for a Monoclonal Antibody Drug INCA00186 in Human Serum - PWS,5,5,Interval Duration
Instructional Step,WsRepo : Validation of an ADA Assay for a Monoclonal Antibody Drug INCA00186 in Human Serum - PWS,6,6,
Instructional Step,WsRepo : Validation of an ADA Assay for a Monoclonal Antibody Drug INCA00186 in Human Serum - PWS,7,7,
Instructional Step,WsRepo : Validation of an ADA Assay for a Monoclonal Antibody Drug INCA00186 in Human Serum - PWS,8,8,
Incubation,WsRepo : Validation of an ADA Assay for a Monoclonal Antibody Drug INCA00186 in Human Serum - PWS,9,9,Interval Duration
WashProgram Step,WsRepo : Validation of an ADA Assay for a Monoclonal Antibody Drug INCA00186 in Human Serum - PWS,10,10,
Incubation,WsRepo : Validation of an ADA Assay for a Monoclonal Antibody Drug INCA00186 in Human Serum - PWS,11,11,Interval Duration
WashProgram Step,WsRepo : Validation of an ADA Assay for a Monoclonal Antibody Drug INCA00186 in Human Serum - PWS,12,12,
Instructional Step,WsRepo : Validation of an ADA Assay for a Monoclonal Antibody Drug INCA00186 in Human Serum - PWS,13,13,
Instructional Step,WsRepo : ZTS-00521426 PK Canine Plasma Sample Analysis,1,1,
Instructional Step,WsRepo : ZTS-00521426 PK Canine Plasma Sample Analysis,2,2,
Instructional Step,WsRepo : ZTS-00521426 PK Canine Plasma Sample Analysis,3,3,
Instructional Step,WsRepo : ZTS-00521426 PK Canine Plasma Sample Analysis,4,4,
Customized Step,WsRepo : ZTS-00521426 PK Canine Plasma Sample Analysis,5,5,
Instructional Step,WsRepo : ZTS-00521426 PK Canine Plasma Sample Analysis,6,6,
Instructional Step,WsRepo : ZTS-00521426 PK Canine Plasma Sample Analysis,7,7,
Customized Step,WsRepo : ZTS-00521426 PK Canine Plasma Sample Analysis,8,8,
Instructional Step,WsRepo : ZTS-00521426 PK Canine Plasma Sample Analysis,9,9,
Instructional Step,WsRepo : ZTS-00521426 PK Canine Plasma Sample Analysis,10,10,
Instructional Step,WsRepo : ZTS-00521426 PK Canine Plasma Sample Analysis,11,11,
Instructional Step,WsRepo : ZTS-00521426 PK Canine Plasma Sample Analysis,12,12,
Instructional Step,WsRepo : ZTS-00521426 PK Canine Plasma Sample Analysis,13,13,
Instructional Step,WsRepo : ZTS-00521426 PK Canine Plasma Sample Analysis,14,14,
Customized Step,WsRepo : Appendix A. Bead Extraction Worksheet {26391563},12,12,
Instructional Step,WsRepo : Quantitation of ZTS-00508841 in Canine Serum using a Validated Gyros Method,1,1,
Instructional Step,WsRepo : Quantitation of ZTS-00508841 in Canine Serum using a Validated Gyros Method,2,2,
Instructional Step,WsRepo : Quantitation of ZTS-00508841 in Canine Serum using a Validated Gyros Method,3,3,
Customized Step,WsRepo : Quantitation of ZTS-00508841 in Canine Serum using a Validated Gyros Method,4,4,
Instructional Step,WsRepo : Quantitation of ZTS-00508841 in Canine Serum using a Validated Gyros Method,5,5,
Instructional Step,WsRepo : Quantitation of ZTS-00508841 in Canine Serum using a Validated Gyros Method,6,6,
Instructional Step,WsRepo : Quantitation of ZTS-00508841 in Canine Serum using a Validated Gyros Method,7,7,
Customized Step,WsRepo : Quantitation of ZTS-00508841 in Canine Serum using a Validated Gyros Method,8,8,
Instructional Step,WsRepo : Quantitation of ZTS-00508841 in Canine Serum using a Validated Gyros Method,9,9,
Instructional Step,WsRepo : Quantitation of ZTS-00508841 in Canine Serum using a Validated Gyros Method,10,10,
Instructional Step,WsRepo : Quantitation of ZTS-00508841 in Canine Serum using a Validated Gyros Method,11,11,
Instructional Step,WsRepo : Quantitation of ZTS-00508841 in Canine Serum using a Validated Gyros Method,12,12,
Instructional Step,WsRepo : Quantitation of ZTS-00508841 in Canine Serum using a Validated Gyros Method,13,13,
Instructional Step,WsRepo : Quantitation of ZTS-00508841 in Canine Serum using a Validated Gyros Method,14,14,
Interval Step,WsRepo : Quantitation of ZTS-00508841 in Canine Serum using a Validated Gyros Method,4,4,No Less than Lower Bound
Interval Step,WsRepo : Quantitation of ZTS-00508841 in Canine Serum using a Validated Gyros Method,8,8,Interval Duration
Interval Step,WsRepo : Quantitation of ZTS-00508841 in Canine Serum using a Validated Gyros Method,4,4,No Less than Lower Bound
Customized Step,WsRepo : Appendix A. Bead Extraction Worksheet {26391563},12,12,
Customized Step,WsRepo : Appendix A. Bead Extraction Worksheet {26391563},13A,13 Overnight Incubation,
Incubation,WsRepo : Appendix A. Bead Extraction Worksheet {26391563},13B,13 Room Temperature Incubation,Interval Duration
Customized Step,WsRepo : Appendix B. APL-2 Assay Worksheet {26391563},4,4,
Customized Step,WsRepo : Appendix B. APL-2 Assay Worksheet {26391563},5,5,
Customized Step,WsRepo : Appendix A. Bead Extraction Worksheet {26391563},12,12,
Customized Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,1,1,
Instructional Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,2,2,
Instructional Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,3,3,
Interval Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,4,4,No Greater than Higher Bound
Customized Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,3,3,
Customized Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,1,1,
Customized Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,1,1,
Customized Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,5,5,
Customized Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,6,6,
Customized Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,7,7,
Interval Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,8,8,Interval Duration
Incubation,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,9,9,Interval Duration
WashProgram Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,11,11,
Incubation,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,12,12,Interval Duration
Instructional Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,13,13,
WashProgram Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,14,14,
Instructional Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,15,15,
Incubation,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,16,16,Interval Duration
WashProgram Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,17,17,
Instructional Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,3,3,
N/A Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,3,3,
,,,,
N/A Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,3NA,3NA,
,,,,
Instructional Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,5,5,
N/A Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,5NA,5NA,
,,,,
Customized Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,4,4,
Customized Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,6,6,
Customized Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,7,7,
Customized Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,8,8,
Customized Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,10,10,
Customized Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,18,18,
Customized Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,19,19,
Customized Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,19,19,
Customized Step,WsRepo : Worksheet for Detection of Anti-BG00002 Antibodies in Epilepsy Human Serum,20,20,
Instructional Step,~vKloppA : Day 1 Assay Worksheet,1,1,
Instructional Step,~vKloppA : Day 1 Assay Worksheet,2,2,
Instructional Step,~vKloppA : Day 1 Assay Worksheet,4,4,
Instructional Step,~vKloppA : Day 1 Assay Worksheet,5,5,
WashProgram Step,WsRepo : Quantification of ATRC-101 in Human Serum Samples Using a Validated Electrochemiluminescence Method,2,2,
Incubation,WsRepo : Quantification of ATRC-101 in Human Serum Samples Using a Validated Electrochemiluminescence Method,3,3,No Less than Lower Bound
WashProgram Step,WsRepo : Quantification of ATRC-101 in Human Serum Samples Using a Validated Electrochemiluminescence Method,4,4,
Incubation,WsRepo : Quantification of ATRC-101 in Human Serum Samples Using a Validated Electrochemiluminescence Method,5,5,Interval Duration
WashProgram Step,WsRepo : Quantification of ATRC-101 in Human Serum Samples Using a Validated Electrochemiluminescence Method,6,6,
Incubation,WsRepo : Quantification of ATRC-101 in Human Serum Samples Using a Validated Electrochemiluminescence Method,7,7,Interval Duration
WashProgram Step,WsRepo : Quantification of ATRC-101 in Human Serum Samples Using a Validated Electrochemiluminescence Method,8,8,
Instructional Step,WsRepo : Quantification of ATRC-101 in Human Serum Samples Using a Validated Electrochemiluminescence Method,9,9,
Customized Step,WsRepo : Quantification of ATRC-101 in Human Serum Samples Using a Validated Electrochemiluminescence Method,1,1,
Instructional Step,~vKloppA : Day 1 Assay Worksheet,6,6,
Instructional Step,~vKloppA : Day 1 Assay Worksheet,8,8,
Instructional Step,~vKloppA : Day 1 Assay Worksheet,9,9,
Customized Step,~vKloppA : Day 1 Assay Worksheet,10,10,
Instructional Step,~vKloppA : Day 1 Assay Worksheet,11,11,
Instructional Step,~vKloppA : Day 2 - Part 1,1,1,
Customized Step,~vKloppA : Day 2 - Part 1,2,2,
Instructional Step,~vKloppA : Day 2 - Part 1,3,3,
Instructional Step,~vKloppA : Day 2 - Part 1,4,4,
Instructional Step,~vKloppA : Day 2 - Part 1,5,5,
Customized Step,~vKloppA : Day 2 - Part 1,6,6,
Instructional Step,~vKloppA : Day 2 - Part 1,8,8,
Instructional Step,~vKloppA : Day 2 - Part 2,1,1,
Instructional Step,~vKloppA : Day 2 - Part 2,2,2,
Instructional Step,~vKloppA : Day 2 - Part 2,3,3,
Instructional Step,~vKloppA : Day 2 - Part 2,4,4,
Customized Step,~vKloppA : Day 2 - Part 2,5,5,
Instructional Step,~vKloppA : Day 2 - Part 2,7,7,
Interval Step,~vKloppA : Day 2 - Part 2,8,8,Interval Duration
Instructional Step,~vKloppA : Day 2 - Part 2,9,9,
Instructional Step,~vKloppA : Day 2 - Part 2,10,10,
Instructional Step,~vKloppA : Day 2 - Part 2,13,13,
Incubation,~vKloppA : Day 2 - Part 2,15,15,Interval Duration
Instructional Step,~vKloppA : Day 2 - Part 2,17,17,
Instructional Step,~vKloppA : Day 2 - Part 2,18,18,
Incubation,~vKloppA : Day 1 Assay Worksheet,3,3 - Plate 1,Interval Duration
Incubation,~vKloppA : Day 1 Assay Worksheet,3,3 - Plate 2,Interval Duration
Customized Step,~vKloppA : Day 1 Assay Worksheet,7,7,
